950.0,263.0
953.0,251.0
954.0,240.0
956.0,230.0
957.0,219.0
957.0,207.0
957.0,197.0
957.0,188.0
957.0,178.0
954.0,170.0
952.0,167.0
950.0,165.0
948.0,165.0
946.0,165.0
944.0,167.0
941.0,169.0
936.0,174.0
929.0,180.0
922.0,190.0
913.0,200.0
905.0,214.0
895.0,230.0
884.0,254.0
870.0,282.0
857.0,313.0
843.0,345.0
833.0,373.0
825.0,397.0
819.0,421.0
815.0,445.0
811.0,469.0
807.0,495.0
803.0,519.0
799.0,541.0
795.0,567.0
791.0,587.0
787.0,603.0
783.0,617.0
779.0,631.0
771.0,641.0
763.0,651.0
755.0,659.0
747.0,665.0
738.0,671.0
729.0,674.0
720.0,678.0
712.0,681.0
706.0,682.0
701.0,682.0
696.0,680.0
694.0,678.0
689.0,672.0
686.0,666.0
680.0,657.0
676.0,644.0
672.0,629.0
668.0,611.0
665.0,595.0
665.0,580.0
665.0,566.0
669.0,552.0
672.0,541.0
677.0,531.0
687.0,522.0
696.0,516.0
706.0,510.0
718.0,502.0
731.0,493.0
750.0,484.0
769.0,474.0
791.0,465.0
813.0,453.0
836.0,442.0
862.0,434.0
888.0,422.0
914.0,410.0
940.0,396.0
964.0,382.0
986.0,370.0
1004.0,356.0
1020.0,342.0
1034.0,330.0
1046.0,314.0
1052.0,298.0
1056.0,284.0
1058.0,272.0
1058.0,261.0
1058.0,252.0
1058.0,243.0
1058.0,234.0
1059.0,225.0
1059.0,216.0
1062.0,209.0
1065.0,200.0
1068.0,191.0
1072.0,183.0
1078.0,174.0
1086.0,168.0
1094.0,165.0
1101.0,162.0
1110.0,161.0
1118.0,161.0
1127.0,159.0
1135.0,162.0
1145.0,165.0
1155.0,168.0
1165.0,174.0
1177.0,179.0
1188.0,184.0
1200.0,190.0
1214.0,194.0
1227.0,199.0
1238.0,202.0
1249.0,205.0
1257.0,209.0
1261.0,213.0
1265.0,217.0
1266.0,220.0
1269.0,223.0
